Video	title	url	content_label_1	content_hierarchy_1	content_label_2	content_hierarchy_2	gt_content_label_1	gt_content_hierarchy_1	gt_content_label_2	gt_content_hierarchy_2	annotated_at	annotator_id
Seth_Meyers_5OWxG6CXI1I	Marianne Williamson on Humor, Morality and Beating Trump in 2020	https://www.youtube.com/watch?v=5OWxG6CXI1I	celebrity-content	arts/culture	politics	socialsciences	talkshows	tv_entertainment	geopolitical-news	news	2025-07-29T02:00:58.121368	kaatje
Jimmy_Fallon_MTH8iuOYviw	Virtual Reality Pictionary with Kate McKinnon and Patton Oswalt	https://www.youtube.com/watch?v=MTH8iuOYviw	celebrity-content	arts/culture	comedy	comedy	talkshows	tv_entertainment	quizzes	others	2025-07-29T02:01:26.896120	kaatje
RottenTomatoes_XO3-PumyjoI	The Perks of Being a Wallflower (1/11) Movie CLIP - Come On Eileen (2012) HD	https://www.youtube.com/watch?v=XO3-PumyjoI	movies	movies			movies	movies	drama	tv_entertainment	2025-07-29T02:02:19.337173	kaatje
Professor_Dave_Explains_OBsBtuh-wAk	Smallpox (Variola Virus)	https://www.youtube.com/watch?v=OBsBtuh-wAk	chemistry	physicalsciences	public_health	lifesciences	health-news	news	biology	lifesciences	2025-07-29T02:02:52.936360	kaatje
AlphaPhoenix_zaMg15CZXug	Doggie Doorbell	https://www.youtube.com/watch?v=zaMg15CZXug	engineering	tech/engineering	technology	tech/engineering	engineering	tech/engineering	engineering	tech/engineering	2025-07-29T02:03:30.915247	kaatje
Aunty_Donna_X1U9XgCwfMc	The South African Sams Extra Takes - Aunty Donna's Big Ol' House of Fun	https://www.youtube.com/watch?v=X1U9XgCwfMc	sociology	socialsciences			comedy	comedy	vlog	personal_vlogs	2025-07-29T02:04:20.243047	kaatje
Khan_Academy_4ZWbeESjv4M	Examples finding the domain of functions	https://www.youtube.com/watch?v=4ZWbeESjv4M	math	math/logic	algebra	math/logic	algebra	math/logic	math	math/logic	2025-07-29T02:04:45.686694	kaatje
Vox_v3MtBE37wHY	How slow motion works	https://www.youtube.com/watch?v=v3MtBE37wHY	movies	movies	technology	tech/engineering	software-tutorials	tutorials	arts	arts/culture	2025-07-29T02:05:26.956689	kaatje
Netflix_j3X5zG2q67s	A Very Furry Queer Eye Special: Philadelphia Mascot Gritty Gets A Makeover | Netflix	https://www.youtube.com/watch?v=j3X5zG2q67s	fashion	lifestyle_wellbeing	internet-culture	others	reality-tv	tv_entertainment	cosmetics	lifestyle_wellbeing	2025-07-29T02:06:04.637800	kaatje
Jeff_Su_gkYNdy-Hig4	6 Underrated Macbook Apps for Productivity!	https://www.youtube.com/watch?v=gkYNdy-Hig4	engineering	tech/engineering	product-reviews	reviews	product-reviews	reviews	selfhelp	lifestyle_wellbeing	2025-07-29T02:06:52.815684	kaatje
RottenTomatoes_lKE3zh_Hxqw	Beverly Hills Cop (4/10) Movie CLIP - Foul-Mouthed? (1984) HD	https://www.youtube.com/watch?v=lKE3zh_Hxqw	movies	movies			movies	movies	movies	movies	2025-07-29T02:07:38.319994	kaatje
IBM_Technology_jcgaNrC4ElU	Five Steps to Create a New AI Model	https://www.youtube.com/watch?v=jcgaNrC4ElU	computersci	tech/engineering	technology	tech/engineering	computersci	tech/engineering	datasci	tech/engineering	2025-07-29T02:08:20.416536	kaatje
RottenTomatoes_5hSl6kTXqBo	Bloodshot (2020) - Death in the Tunnel Scene (4/10) | Movieclips	https://www.youtube.com/watch?v=5hSl6kTXqBo	movies	movies			movies	movies	architecture	architecture	2025-07-29T02:08:48.755302	kaatje
Sam_the_Cooking_Guy_2O2afWLh7IM	ONE PAN STEAK DINNER ON THE TABLE IN UNDER 30 MINUTES! | SAM THE COOKING GUY	https://www.youtube.com/watch?v=2O2afWLh7IM	culinary	culinary			food	lifestyle_wellbeing	culinary	culinary	2025-07-29T02:09:24.440512	kaatje
Seth_Meyers_RMUzSqVJ-OA	"Jake Gyllenhaal Wanted to Use ""Singin' in the Rain"" as His UFC Walkout Song"	https://www.youtube.com/watch?v=RMUzSqVJ-OA	celebrity-content	arts/culture	movies	movies	entertainment-news	news	talkshows	tv_entertainment	2025-07-29T02:09:55.696590	kaatje
Seth_Meyers_IEkdck_L2oc	Nick Offerman Shaved His Beard to Save His Marriage with Megan Mullally	https://www.youtube.com/watch?v=IEkdck_L2oc	celebrity-content	arts/culture	drama	tv_entertainment	talkshows	tv_entertainment	environment	physicalsciences	2025-07-29T02:10:33.845629	kaatje
FGTeeV_eE_fOdmBrWw	There's a GOOZY game AMONG US!  (FGTeeV NEW Mobile Game + A.U. Deleted Scenes)	https://www.youtube.com/watch?v=eE_fOdmBrWw	internet-culture	others	gaming	gaming	vlog	personal_vlogs	gaming	gaming	2025-07-29T02:11:11.848791	kaatje
eHowEducation_eKz7Ysb-3BQ	Mean, Mode, Range & Average	https://www.youtube.com/watch?v=eKz7Ysb-3BQ	math	math/logic	algebra	math/logic	datasci	tech/engineering	algebra	math/logic	2025-07-29T02:11:44.147481	kaatje
Comedy_Dynamics_2NQcC-7i7qs	Helping Mom Quit Smoking - Nick Alexander	https://www.youtube.com/watch?v=2NQcC-7i7qs	computersci	tech/engineering	public_health	lifesciences	comedy	comedy	mental-health	lifestyle_wellbeing	2025-07-29T02:12:20.029987	kaatje
RottenTomatoes_i-VeLFEMeko	Spy Kids (3/10) Movie CLIP - Becoming Spies (2001) HD	https://www.youtube.com/watch?v=i-VeLFEMeko	movies	movies	comedy	comedy	movies	movies	sports	sports	2025-07-29T02:13:07.088370	kaatje
ElectroBOOM_A129SM9S54A	How to change the brake pads of your car	https://www.youtube.com/watch?v=A129SM9S54A	engineering	tech/engineering			diy	tutorials	engineering	tech/engineering	2025-07-29T02:13:40.048384	kaatje
David_Taylor_OqLZ7thb3Sg	Images in Blackboard: Embed, Position, Resize, Wrap Text	https://www.youtube.com/watch?v=OqLZ7thb3Sg	software-tutorials	tutorials	computersci	tech/engineering	teaching	pedagogy	teaching	pedagogy	2025-07-29T02:14:14.332180	kaatje
Deep_Dive_Ali_Abdaal_jA-BdFiTWMY	"Serial Entrepreneur: ""Here's How I Run Multiple-Businesses"""	https://www.youtube.com/watch?v=jA-BdFiTWMY	business	business/finance	selfhelp	lifestyle_wellbeing	business	business/finance	business	business/finance	2025-07-29T02:15:02.908256	kaatje
Conan_OBrien_sm4SAncusTM	Scarlett Johansson’s First Paid Acting Gig Was On “Late Night” | Late Night with Conan O’Brien	https://www.youtube.com/watch?v=sm4SAncusTM	celebrity-content	arts/culture	computersci	tech/engineering	talkshows	tv_entertainment	talkshows	tv_entertainment	2025-07-29T02:15:37.398595	kaatje
RottenTomatoes_zuSBq10_5go	Venom (2018) - Venom vs. Riot Scene (8/10) | Movieclips	https://www.youtube.com/watch?v=zuSBq10_5go	movies	movies			movies	movies	drama	tv_entertainment	2025-07-29T02:16:09.349928	kaatje
RottenTomatoes_wgHRj2-vvs8	Saving Private Ryan (5/7) Movie CLIP - Private Jackson (1998) HD	https://www.youtube.com/watch?v=wgHRj2-vvs8	movies	movies	drama	tv_entertainment	movies	movies	humanities	humanities/philosophy	2025-07-29T02:16:31.573707	kaatje
RottenTomatoes_l6TGERgrXmA	Sherlock Holmes (2009) - What Can You Tell About Me? Scene (2/10) | Movieclips	https://www.youtube.com/watch?v=l6TGERgrXmA	movies	movies	humanities	humanities/philosophy	movies	movies	psychology	socialsciences	2025-07-29T02:17:19.593298	kaatje
60_Minutes_tn3OdH4LqIY	The game that changed Charles Barkley's life | 60 Minutes	https://www.youtube.com/watch?v=tn3OdH4LqIY	sports	sports			sports-news	sports	sports	sports	2025-07-29T02:17:52.088970	kaatje
Khan_Academy_YghRP8S2K-4	Applying radical equations 2 | Exponent expressions and equations | Algebra I | Khan Academy	https://www.youtube.com/watch?v=YghRP8S2K-4	algebra	math/logic			math	math/logic	algebra	math/logic	2025-07-29T02:18:31.087691	kaatje
TED_XQJhRDbsDzI	Your identity is your superpower | America Ferrera	https://www.youtube.com/watch?v=XQJhRDbsDzI	mental-health	lifestyle_wellbeing	selfhelp	lifestyle_wellbeing	selfhelp	lifestyle_wellbeing	selfhelp	lifestyle_wellbeing	2025-07-29T02:19:06.629082	kaatje
Geography_Geek_Pj4gA1aOBCM	Why is Korea an Island on Old Maps?	https://www.youtube.com/watch?v=Pj4gA1aOBCM	history	arts/culture	geopolitical-news	news	arts	arts/culture	history	arts/culture	2025-07-29T02:20:35.569768	kaatje
Benjamin_Keep_8l3Mux2Khe0	The thing that kills creativity | Psychology, insight, and problem solving.	https://www.youtube.com/watch?v=8l3Mux2Khe0	sociology	socialsciences			psychology	socialsciences	teaching	pedagogy	2025-07-29T02:21:26.048572	kaatje
Simplilearn_Nj3Ez95M-ys	Top 10 Richest People In The World 2023 | World's Richest Billionaires | Simplilearn	https://www.youtube.com/watch?v=Nj3Ez95M-ys	sociology	socialsciences			business-news	business/finance	economics	socialsciences	2025-07-29T02:22:29.327556	kaatje
RottenTomatoes_XzKYNZY9Hpk	Scream 2 (2/12) Movie CLIP - Sequels Suck! (1997) HD	https://www.youtube.com/watch?v=XzKYNZY9Hpk	architecture	architecture	architecture	architecture	movies	movies	arts	arts/culture	2025-07-29T02:23:21.230153	kaatje
RottenTomatoes_Bypor4e04rg	Lord of the Rings: The Fellowship of the Ring (2001) - The Fellowship Assembles Scene | Movieclips	https://www.youtube.com/watch?v=Bypor4e04rg	drama	tv_entertainment			movies	movies	arts	arts/culture	2025-07-29T02:24:23.245139	kaatje
eHowEducation_mq-YKt0Xw20	How to Convert Binary to Decimal by Multiplication : Advanced Multiplication	https://www.youtube.com/watch?v=mq-YKt0Xw20	math	math/logic			math	math/logic	math	math/logic	2025-07-29T02:25:09.169669	kaatje
The_Late_Show_Stephen_Colbert_EC3_lkICSJc	Meanwhile… Kim Kardashian’s Salmon Sperm Facial | George R. R. Martin Is Mad | Raccoon Rescue	https://www.youtube.com/watch?v=EC3_lkICSJc	celebrity-content	arts/culture			talkshows	tv_entertainment	talkshows	tv_entertainment	2025-07-29T02:25:54.519272	kaatje
Vox_n54-eEvoMpg	Why 23 million Americans don't have fast internet	https://www.youtube.com/watch?v=n54-eEvoMpg	domestic-news	news	sociology	socialsciences	business-news	business/finance	technology	tech/engineering	2025-07-29T02:27:02.867925	kaatje
RottenTomatoes_gQNFCRom7c0	The Fabulous Baker Boys (1989) - Makin' Whoopee Scene (6/11) | Movieclips	https://www.youtube.com/watch?v=gQNFCRom7c0	music	arts/culture	movies	movies	movies	movies	music	arts/culture	2025-07-29T02:28:34.098925	kaatje
Berklee_POrXMpK5vd8	Dream Theater | How to Play “Erotomania” Guitar Solo | John Petrucci | Metal Guitar | Shaun Michaud	https://www.youtube.com/watch?v=POrXMpK5vd8	music	arts/culture	diy	tutorials	music	arts/culture	arts	arts/culture	2025-07-29T02:29:15.742940	kaatje
Khan_Academy_GmD7Czmol0k	How to evaluate expressions in two variables with decimals and fractions | 6th grade | Khan Academy	https://www.youtube.com/watch?v=GmD7Czmol0k	algebra	math/logic	algebra	math/logic	algebra	math/logic	math	math/logic	2025-07-29T02:29:47.737242	kaatje
ESPN_Otc5vYWwkPY	Stephen A. & Mad Dog CRITICIZE TIMING reinstating Pete Rose & Shoeless Joe | First Take YT Exclusive	https://www.youtube.com/watch?v=Otc5vYWwkPY	sports	sports	entertainment-news	news	sports-news	sports	sports	sports	2025-07-29T02:30:52.713707	kaatje
Facts_HW7F-M8Rcjo	Irish People Try To Explain Emoji Meanings	https://www.youtube.com/watch?v=HW7F-M8Rcjo	sociology	socialsciences	architecture	architecture	internet-culture	others	languages	arts/culture	2025-07-29T02:31:47.335355	kaatje
Conan_OBrien_XPeT48C9Zco	Conan & Sona Talk About Their Siblings | Conan O'Brien Needs A Friend	https://www.youtube.com/watch?v=XPeT48C9Zco	celebrity-content	arts/culture	reality-tv	tv_entertainment	talkshows	tv_entertainment	talkshows	tv_entertainment	2025-07-29T02:32:22.714976	kaatje
RottenTomatoes_NYo4WkYNLn4	John Wick (7/10) Movie CLIP - Where Is He? (2014) HD	https://www.youtube.com/watch?v=NYo4WkYNLn4	movies	movies	drama	tv_entertainment	movies	movies	architecture	architecture	2025-07-29T02:32:48.255759	kaatje
Khan_Academy_a8g6ma0MBaA	Glass Chair at the 1939 New York World's Fair	https://www.youtube.com/watch?v=a8g6ma0MBaA	history	arts/culture	humanities	humanities/philosophy	architecture	architecture	arts	arts/culture	2025-07-29T02:33:26.853887	kaatje
Khan_Academy_6zdkeZ_UDXY	Recognition | Vocabulary | Khan Academy	https://www.youtube.com/watch?v=6zdkeZ_UDXY	languages	arts/culture	humanities	humanities/philosophy	languages	arts/culture	teaching	pedagogy	2025-07-29T02:34:03.355946	kaatje
Khan_Academy_9KR1bad76qg	Social institutions | Society and Culture | MCAT | Khan Academy	https://www.youtube.com/watch?v=9KR1bad76qg	sociology	socialsciences	politics	socialsciences	sociology	socialsciences	history	arts/culture	2025-07-29T02:34:31.595013	kaatje
Gordon_Ramsay__GkVrmNBEL4	Three of the Best Gordon Ramsay Hotel Hell Makeovers	https://www.youtube.com/watch?v=_GkVrmNBEL4	reality-tv	tv_entertainment	celebrity-content	arts/culture	home	lifestyle_wellbeing	reality-tv	tv_entertainment	2025-07-29T02:34:51.480519	kaatje
AsapSCIENCE_bcmJ5u4Ord0	Amazing Earth Facts To Blow Your Mind	https://www.youtube.com/watch?v=bcmJ5u4Ord0	environment	physicalsciences	astronomy	physicalsciences	astronomy	physicalsciences	environment	physicalsciences	2025-07-29T02:35:44.617814	kaatje
NYT_Podcasts_fOygD14a914	Can Learning to Love Beans Help Save the Planet?	https://www.youtube.com/watch?v=fOygD14a914	environment	physicalsciences	public_health	lifesciences	environment	physicalsciences	culinary	culinary	2025-07-29T02:36:36.792951	kaatje
The_B1M_V4awZOrzyjo	Why There Are No Megatall Skyscrapers in New York	https://www.youtube.com/watch?v=V4awZOrzyjo	sociology	socialsciences	finance	business/finance	architecture	architecture	engineering	tech/engineering	2025-07-29T02:37:13.295399	kaatje
Practical_Engineering_iWc3BcCvEW0	Resin Sphere Turning Experiment Failure	https://www.youtube.com/watch?v=iWc3BcCvEW0	diy	tutorials	vlog	personal_vlogs	diy	tutorials	engineering	tech/engineering	2025-07-29T02:38:01.726952	kaatje
Facts_Yjh08PzW_Zc	Women Try On Historic Undergarments	https://www.youtube.com/watch?v=Yjh08PzW_Zc	history	arts/culture	sociology	socialsciences	history	arts/culture	fashion	lifestyle_wellbeing	2025-07-29T02:38:26.638944	kaatje
RottenTomatoes_e5gfRaN5gaE	Dead Snow: Red vs. Dead (2014) - Zombie War Scene (8/10) | Movieclips	https://www.youtube.com/watch?v=e5gfRaN5gaE	movies	movies	drama	tv_entertainment	movies	movies	architecture	architecture	2025-07-29T02:41:55.212907	kaatje
AsapSCIENCE_Rx-urUi0mnA	Was legalizing weed a mistake?	https://www.youtube.com/watch?v=Rx-urUi0mnA	public_health	lifesciences	sociology	socialsciences	health-news	news	medicine	lifesciences	2025-07-29T02:42:36.392639	kaatje
National_Geographic_40yqDWiEr_g	Einstein the Mad Scientist | Genius	https://www.youtube.com/watch?v=40yqDWiEr_g	movies	movies			physics	physicalsciences	physics	physicalsciences	2025-07-29T02:43:29.056309	kaatje
Khan_Academy_Yeie-aJT2eU	Divergence intuition, part 2	https://www.youtube.com/watch?v=Yeie-aJT2eU	math	math/logic	algebra	math/logic	physics	physicalsciences	physics	physicalsciences	2025-07-29T02:44:14.471114	kaatje
Seth_Meyers_eeOtElDyrgs	John Mulaney Tries to Explain What a VSCO Girl Is to Seth	https://www.youtube.com/watch?v=eeOtElDyrgs	celebrity-content	arts/culture	internet-culture	others	talkshows	tv_entertainment	celebrity-content	arts/culture	2025-07-29T02:44:45.648415	kaatje
Chris_Williamson_FbHLdC5WLek	Is It Possible To Put Women In The Friend Zone? - Ryan Long	https://www.youtube.com/watch?v=FbHLdC5WLek	sociology	socialsciences	conspiracy	others	humanities	humanities/philosophy	talkshows	tv_entertainment	2025-07-29T02:45:20.259825	kaatje
Conan_OBrien_Z8s-NRK37is	"Ricky Gervais Helps Americans Understand ""The Office"" | Late Night with Conan O’Brien"	https://www.youtube.com/watch?v=Z8s-NRK37is	celebrity-content	arts/culture			talkshows	tv_entertainment	talkshows	tv_entertainment	2025-07-29T02:45:44.089032	kaatje
Extra_History_6WkjHyKHyX4	Hogs in History - Creator and Destroyer - Extra History	https://www.youtube.com/watch?v=6WkjHyKHyX4	history	arts/culture	public_health	lifesciences	biology	lifesciences	history	arts/culture	2025-07-29T02:46:39.188646	kaatje
Knatim_AWZw8NsbEbY	15 Leadership Clip - Chris Spence.wmv	https://www.youtube.com/watch?v=AWZw8NsbEbY	teaching	pedagogy	sociology	socialsciences	teaching	pedagogy	languages	arts/culture	2025-07-29T02:47:37.134966	kaatje
RottenTomatoes_kDfvxJUxL10	Erin Brockovich (3/10) Movie CLIP - Erin Is Re-hired (2000) HD	https://www.youtube.com/watch?v=kDfvxJUxL10	movies	movies	drama	tv_entertainment	movies	movies	law	socialsciences	2025-07-29T02:48:12.688406	kaatje
Fox_US_News_gDoOH3O3vcM	TikTok bill at 'the end of the day it's about our adversaries': Rep. Michael Waltz	https://www.youtube.com/watch?v=gDoOH3O3vcM	conspiracy	others	domestic-news	news	geopolitical-news	news	politics	socialsciences	2025-07-29T02:48:52.885864	kaatje
NYT_Podcasts_ZqeqTYKE5FI	Uninspired by Plant-Based Foods? Add Some Anchovies.	https://www.youtube.com/watch?v=ZqeqTYKE5FI	food	lifestyle_wellbeing	chemistry	physicalsciences	food	lifestyle_wellbeing	culinary	culinary	2025-07-29T02:49:49.476592	kaatje
RottenTomatoes_C1NgX-w54RY	Star Trek: The Undiscovered Country (6/8) Movie CLIP - A Painful Mind Meld (1991) HD	https://www.youtube.com/watch?v=C1NgX-w54RY	movies	movies			movies	movies	architecture	architecture	2025-07-29T02:50:24.145921	kaatje
National_Geographic_XOMC4Wpp67Q	Subterranean Treasure | Primal Survivor	https://www.youtube.com/watch?v=XOMC4Wpp67Q	sociology	socialsciences			sports	sports	internet-culture	others	2025-07-29T02:51:26.575561	kaatje
RottenTomatoes_lZ885HzflVc	"Teen Witch (1/12) Movie CLIP - Mr. Miller Teaches ""Romance"" (1989) HD"	https://www.youtube.com/watch?v=lZ885HzflVc	movies	movies	drama	tv_entertainment	movies	movies	arts	arts/culture	2025-07-29T02:51:43.695231	kaatje
Not_Another_Cooking_Show_xGqVUgt_b9I	how to make TURKEY STOCK FROM SCRATCH for THANKSGIVING	https://www.youtube.com/watch?v=xGqVUgt_b9I	food	lifestyle_wellbeing			culinary	culinary	food	lifestyle_wellbeing	2025-07-29T02:52:28.036838	kaatje
RottenTomatoes_GXIoVVmTRlg	The War Tapes (2006) Official Trailer # 1 - Zack Bazzi HD	https://www.youtube.com/watch?v=GXIoVVmTRlg	movies	movies	drama	tv_entertainment	movies	movies	movies	movies	2025-07-29T02:53:10.559008	kaatje
Conan_OBrien_gplM_zsVm5M	Why Anthony Hopkins Is Done with Hannibal Lecter | Late Night with Conan O’Brien	https://www.youtube.com/watch?v=gplM_zsVm5M	celebrity-content	arts/culture			talkshows	tv_entertainment	celebrity-content	arts/culture	2025-07-29T02:53:31.255718	kaatje
Practical_Engineering_UOHURuAf5iY	What is Concrete?	https://www.youtube.com/watch?v=UOHURuAf5iY	chemistry	physicalsciences	environment	physicalsciences	engineering	tech/engineering	engineering	tech/engineering	2025-07-29T02:54:03.335886	kaatje
The_Late_Show_Stephen_Colbert_MiBK4i6490Y	A Late Show Hits The Campaign Trail (Back When It Was Safe To)	https://www.youtube.com/watch?v=MiBK4i6490Y	sports	sports	celebrity-content	arts/culture	talkshows	tv_entertainment	politics	socialsciences	2025-07-29T02:54:36.493229	kaatje
CSPAN_VjKG2zwc5zs	"AFT President on arming school teachers: ""It's a terrible idea."" (C-SPAN)"	https://www.youtube.com/watch?v=VjKG2zwc5zs	politics	socialsciences	geopolitical-news	news	law	socialsciences	health-news	news	2025-07-29T02:55:01.858890	kaatje
RottenTomatoes_v3mEThrA_W8	Wonka Trailer #1 (2023)	https://www.youtube.com/watch?v=v3mEThrA_W8	movies	movies	drama	tv_entertainment	movies	movies	movies	movies	2025-07-29T02:55:38.419460	kaatje
halfasinteresting_Q5QzK4cU3QI	Why One Company Technically Owns Every Stock in the US	https://www.youtube.com/watch?v=Q5QzK4cU3QI	finance	business/finance			economics	socialsciences	law	socialsciences	2025-07-29T02:56:36.842880	kaatje
StatQuest_FKM7hZKYEqw	Your Dark Side	https://www.youtube.com/watch?v=FKM7hZKYEqw	music	arts/culture	humanities	humanities/philosophy	music	arts/culture	arts	arts/culture	2025-07-29T02:57:12.733474	kaatje
Sam_ONella_Academy_7s6VfSOuZpQ	The Wild World of Inuit Folklore	https://www.youtube.com/watch?v=7s6VfSOuZpQ	history	arts/culture	humanities	humanities/philosophy	humanities	humanities/philosophy	history	arts/culture	2025-07-29T02:57:44.434647	kaatje
Khan_Academy_SwB9Fq5VRZY	The yield curve | Stocks and bonds | Finance & Capital Markets | Khan Academy	https://www.youtube.com/watch?v=SwB9Fq5VRZY	math	math/logic	algebra	math/logic	finance	business/finance	economics	socialsciences	2025-07-29T02:58:18.772539	kaatje
Conan_OBrien_MIKOcCKFDME	Conan Throws Knives With Penn & Teller | Late Night with Conan O’Brien	https://www.youtube.com/watch?v=MIKOcCKFDME	celebrity-content	arts/culture	magic	others	magic	others	talkshows	tv_entertainment	2025-07-29T02:58:58.055084	kaatje
Courtney_Ryan_yXTgRtZPgns	3 Types Of Watches For Every Guy | Courtney Ryan	https://www.youtube.com/watch?v=yXTgRtZPgns	product-reviews	reviews	sociology	socialsciences	fashion	lifestyle_wellbeing	product-reviews	reviews	2025-07-29T02:59:40.893836	kaatje
Seth_Meyers_8F0L8F9V8js	Dominic Cooper Talks Starring in Preacher	https://www.youtube.com/watch?v=8F0L8F9V8js	celebrity-content	arts/culture	movies	movies	talkshows	tv_entertainment	celebrity-content	arts/culture	2025-07-29T03:00:03.575301	kaatje
All4Ed_oO_HnR1BDZs	Federal Flash: 9/29/16: Career/Tech Rewrite Delayed; Gov't Shutdown Averted; ESSA Implementation	https://www.youtube.com/watch?v=oO_HnR1BDZs	politics	socialsciences	geopolitical-news	news	domestic-news	news	geopolitical-news	news	2025-07-29T03:01:23.313867	kaatje
Psych_Hub_kaxFzln7ssE	What is Schizophrenia?	https://www.youtube.com/watch?v=kaxFzln7ssE	psychology	socialsciences	sociology	socialsciences	medicine	lifesciences	mental-health	lifestyle_wellbeing	2025-07-29T03:02:09.093605	kaatje
Khan_Academy_BSKtQcLQLWU	Lagrange multiplier example, part 1	https://www.youtube.com/watch?v=BSKtQcLQLWU	math	math/logic	algebra	math/logic	math	math/logic	economics	socialsciences	2025-07-29T03:02:32.755351	kaatje
DanTDM_t7BJfMS2HTQ	Minecraft | TOAST CHALLENGE!! | Custom Mod Minigame	https://www.youtube.com/watch?v=t7BJfMS2HTQ	gaming	gaming	internet-culture	others	gaming	gaming	competitions	others	2025-07-29T03:03:00.939384	kaatje
Comedy_Central_Stand_Up_67pDA2EMsZQ	Tacarra Williams’s 12-Year-Old Daughter Had an Outrageous Request	https://www.youtube.com/watch?v=67pDA2EMsZQ	celebrity-content	arts/culture	comedy	comedy	comedy	comedy	vlog	personal_vlogs	2025-07-29T03:03:36.881969	kaatje
The_Law_Simplified_by-F2gy7UJE	'Thinking' Your Way to a First Class	https://www.youtube.com/watch?v=by-F2gy7UJE	selfhelp	lifestyle_wellbeing	conspiracy	others	teaching	pedagogy	law	socialsciences	2025-07-29T03:04:12.643259	kaatje
Vox_aqNHc6ZH7P4	How Trump turned Sean Hannity into a conspiracy theorist	https://www.youtube.com/watch?v=aqNHc6ZH7P4	politics	socialsciences	domestic-news	news	conspiracy	others	politics	socialsciences	2025-07-29T03:05:19.774385	kaatje
The_Royal_Institution_KB__BVdWKWI	How To Make Your Own Animations - At home science - ExpeRimental #27	https://www.youtube.com/watch?v=KB__BVdWKWI	vlog	personal_vlogs			diy	tutorials	internet-culture	others	2025-07-29T03:06:05.995391	kaatje
Jimmy_Fallon_Sv64r3TdDuc	Joaquin Phoenix Is Trying to Quit Smoking with Hypnosis	https://www.youtube.com/watch?v=Sv64r3TdDuc	celebrity-content	arts/culture	comedy	comedy	alternative-medicine	lifestyle_wellbeing	talkshows	tv_entertainment	2025-07-29T03:06:28.788658	kaatje
RottenTomatoes_x9L9S7jEv_M	Leprechaun (5/11) Movie CLIP - Pogo on His Lung (1993) HD	https://www.youtube.com/watch?v=x9L9S7jEv_M	drama	tv_entertainment			movies	movies	architecture	architecture	2025-07-29T03:06:51.053571	kaatje
BRAINY_DOSE_a11uewErjbU	How To Know if a Guy Likes You - 10 Signs He's Interested	https://www.youtube.com/watch?v=a11uewErjbU	sociology	socialsciences	psychology	socialsciences	psychology	socialsciences	vlog	personal_vlogs	2025-07-29T03:07:41.493127	kaatje
Khan_Academy_-MaD9Ycy3a4	Capacitors in series | Circuits | Physics | Khan Academy	https://www.youtube.com/watch?v=-MaD9Ycy3a4	chemistry	physicalsciences	technology	tech/engineering	physics	physicalsciences	engineering	tech/engineering	2025-07-29T03:09:26.088509	kaatje
RottenTomatoes_nuVfizTRHZs	Never Say Never Again (7/10) Movie CLIP - A Superior Woman (1983) HD	https://www.youtube.com/watch?v=nuVfizTRHZs	movies	movies	drama	tv_entertainment	movies	movies	architecture	architecture	2025-07-29T03:10:11.462867	kaatje
RottenTomatoes_AhZw2QXKT1A	Goosebumps 2: Haunted Halloween (2018) - The Monsters Come Alive Scene (6/10) | Movieclips	https://www.youtube.com/watch?v=AhZw2QXKT1A	movies	movies	drama	tv_entertainment	movies	movies	magic	others	2025-07-29T03:10:49.976062	kaatje
Chinese_Cooking_Demystified_9cetNeh1gzM	Stir fried Celery with Shrimp and Lily Bulb - a Cantonese Banquet Recipe (西芹百合炒虾仁)	https://www.youtube.com/watch?v=9cetNeh1gzM	food	lifestyle_wellbeing	culinary	culinary	culinary	culinary	food	lifestyle_wellbeing	2025-07-29T03:11:31.233756	kaatje
NYT_Podcasts_TPImV58IN9I	The Campaign for the Midwest, and Antiracism Demonstrations in the U.K.	https://www.youtube.com/watch?v=TPImV58IN9I	domestic-news	news	sociology	socialsciences	domestic-news	news	politics	socialsciences	2025-07-29T03:12:18.955581	kaatje
Study_Hall_fW10r2TxqOc	What are we doing about climate change? | Sustainability 10 of 31 | Study Hall	https://www.youtube.com/watch?v=fW10r2TxqOc	politics	socialsciences			environment	physicalsciences	biology	lifesciences	2025-07-29T03:13:03.917491	kaatje
Jeff_Su_V_L2aWCdO4A	5 Informational Interview Mistakes to Avoid!	https://www.youtube.com/watch?v=V_L2aWCdO4A	business	business/finance			selfhelp	lifestyle_wellbeing	business	business/finance	2025-07-29T04:11:21.811451	kaatje
eHowEducation_lzwfyXoQ1PM	How to Organize Coordinate Proofs in Geometry : Math Skills	https://www.youtube.com/watch?v=lzwfyXoQ1PM	math	math/logic	algebra	math/logic	math	math/logic	teaching	pedagogy	2025-07-29T04:12:00.547936	kaatje
Fox_US_News_0fSV8mVyGmU	Eyewitness reveals what he saw in explosion at New York-Canada border	https://www.youtube.com/watch?v=0fSV8mVyGmU	domestic-news	news	geopolitical-news	news	domestic-news	news	geopolitical-news	news	2025-07-29T04:12:53.568292	kaatje
Kurzgesagt_8HslUzw35mc	Homeopathy Explained – Gentle Healing or Reckless Fraud?	https://www.youtube.com/watch?v=8HslUzw35mc	psychology	socialsciences	sociology	socialsciences	alternative-medicine	lifestyle_wellbeing	public_health	lifesciences	2025-07-29T04:13:27.729075	kaatje
